transaction_id,last_updated,product,quantity,price,customer_name
35,2025-01-02,Office Phone,4,200.21,Kyle Chase
36,2025-02-18,Push Tablet,7,1379.03,Kelly Arroyo
37,2025-03-25,Think Tablet,9,665.91,Brian Hancock
38,2025-02-09,Drug Phone,8,295.21,April Best
39,2025-02-07,Accept Tablet,3,1971.3,Ashley Brown
40,2025-02-27,Represent Phone,1,1196.92,Mrs. Michelle Howell MD
41,2025-03-02,City Tablet,6,1092.13,Vicki Rodriguez
42,2025-03-09,Speech Phone,6,1660.54,Audrey Smith
43,2025-01-30,Program Tablet,6,440.69,Christopher Sanchez
44,2025-01-21,Measure Tablet,3,469.14,George Davis
45,2025-02-13,Among Phone,4,314.79,Stephanie Martin
46,2025-01-07,Force Laptop,6,1152.53,Timothy Thomas
47,2025-01-31,Need Tablet,9,326.99,Adam Murray
48,2025-01-21,Special Tablet,3,125.59,Kevin Harris
49,2025-01-29,Way Phone,4,1660.09,Jonathan Ayala
50,2025-03-26,Take Laptop,5,1633.47,Jason Hahn
51,2025-03-28,Ask Phone,9,680.27,Travis Washington
52,2025-02-02,Although Laptop,6,1029.94,Tracy White
53,2025-01-12,Go Phone,8,832.02,Heather Newton
54,2025-02-02,Development Laptop,1,1788.44,Courtney Nielsen
55,2025-03-02,Seem Phone,4,1227.47,Dawn Kelley
56,2025-02-19,Where Tablet,1,1091.86,Derek Gallagher
57,2025-03-22,Son Tablet,10,1134.93,Wendy Taylor
58,2025-02-08,Good Tablet,1,918.19,Martin Martinez
59,2025-02-28,Us Phone,3,1366.05,Michael Valencia
60,2025-02-11,Particularly Tablet,4,892.62,David Francis
61,2025-03-21,Method Phone,4,438.64,Jamie Bailey
62,2025-02-09,Month Tablet,9,110.0,Tiffany Griffin
63,2025-02-04,Leave Laptop,9,1550.96,Andrew Aguirre
64,2025-03-31,Southern Phone,10,1826.71,Kevin Sandoval
65,2025-03-28,Note Laptop,2,305.65,Sara Johnson
66,2025-03-25,Few Tablet,4,471.69,Jeffrey Livingston
67,2025-01-11,Toward Tablet,5,1765.47,John Thomas
68,2025-03-10,Ago Laptop,9,205.78,Mary Ball
69,2025-02-11,Agency Tablet,3,1517.79,Douglas Perry
70,2025-01-23,Wall Phone,2,1158.81,Matthew Nichols
71,2025-02-17,Challenge Laptop,7,1605.94,Johnny Hayes
72,2025-03-05,Purpose Phone,8,1953.65,Patricia Snyder
73,2025-03-29,Else Phone,10,150.06,Eric Adams
74,2025-01-08,Pass Laptop,4,1158.43,Christian Miller
75,2025-01-24,Partner Tablet,1,469.89,Angela Knox
76,2025-01-24,Other Phone,3,1335.34,Kimberly Collins
77,2025-02-18,Along Tablet,3,1458.92,Kathy Adams
78,2025-03-01,Cut Tablet,10,597.6,Anita Obrien
79,2025-04-01,Course Phone,8,320.87,Nicole Davis
80,2025-03-14,Receive Laptop,1,543.79,Melissa Nichols
81,2025-01-07,Security Phone,4,762.77,Douglas Barton
82,2025-01-26,Body Tablet,7,1438.68,Richard Hart
83,2025-03-18,Fine Phone,3,1569.93,Victoria Bowman
84,2025-01-02,Major Phone,6,894.85,Christopher Graves
85,2025-01-18,Field Laptop,5,1305.35,Mike Wood
86,2025-01-26,Serious Tablet,8,1052.27,Dawn Stevenson
87,2025-03-14,Community Laptop,3,916.59,Carolyn Allen
88,2025-01-12,Listen Phone,9,1244.66,Alex Jackson
89,2025-01-04,Last Tablet,3,1860.79,Matthew Peters
90,2025-01-14,Sister Phone,7,1393.9,Tina Ferguson
91,2025-02-02,Within Laptop,8,762.17,Eric Wilkins
92,2025-03-21,Arm Phone,6,1553.35,Jason Young
93,2025-03-24,Ahead Tablet,5,1697.01,Emma Burke
94,2025-03-13,Key Laptop,7,1722.67,Michelle Brown
95,2025-03-26,New Phone,3,1950.03,Kara Wright
96,2025-03-14,Dog Tablet,3,1094.51,Wanda Sloan
97,2025-02-20,Parent Phone,7,1394.29,Bradley Payne
98,2025-01-22,Entire Laptop,3,1698.76,David Anderson
99,2025-01-03,Hear Tablet,6,1663.45,Leslie Barber
100,2025-01-26,Film Tablet,6,429.03,Luke Taylor
